wavelength / nm,EQE / %
302.2222222,1.42E-14
340,3.513513514
352.2222222,8.513513514
366.6666667,16.62162162
374.4444444,22.56756757
383.3333333,30.40540541
391.1111111,36.48648649
398.8888889,42.43243243
413.3333333,49.18918919
436.6666667,55.94594595
452.2222222,60.13513514
473.3333333,64.86486486
492.2222222,70.54054054
505.5555556,76.21621622
521.1111111,82.56756757
533.3333333,88.78378378
552.2222222,93.78378378
594.4444444,95.81081081
633.3333333,96.35135135
674.4444444,96.62162162
707.7777778,96.08108108
748.8888889,95.81081081
784.4444444,94.45945946
826.6666667,93.51351351
861.1111111,91.75675676
898.8888889,88.91891892
928.8888889,86.35135135
956.6666667,81.75675676
980,75
994.4444444,68.64864865
1007.777778,61.48648649
1014.444444,55
1024.444444,48.51351351
1033.333333,40.94594595
1043.333333,34.05405405
1052.222222,27.97297297
1061.111111,22.2972973
1071.111111,17.56756757
1083.333333,11.48648649
1096.666667,6.756756757
1117.777778,3.108108108
1148.888889,0.810810811
1172.222222,-0.135135135
1201.111111,-0.405405405
