wavelength / nm,EQE / %
312.2222222,11.62162162
325.5555556,18.24324324
350,27.56756757
364.4444444,35.67567568
392.2222222,44.59459459
423.3333333,50.40540541
457.7777778,56.21621622
492.2222222,64.86486486
506.6666667,73.10810811
531.1111111,83.91891892
558.8888889,90.81081081
622.2222222,94.72972973
682.2222222,92.97297297
725.5555556,91.21621622
746.6666667,89.18918919
766.6666667,89.59459459
792.2222222,86.75675676
821.1111111,77.97297297
825.5555556,67.83783784
831.1111111,56.75675676
835.5555556,48.24324324
842.2222222,40.40540541
845.5555556,32.56756757
851.1111111,23.64864865
855.5555556,17.56756757
863.3333333,8.918918919
876.6666667,2.837837838
897.7777778,0.00E+00
945.5555556,0
991.1111111,0
